head,0 25 aload 1,1 190 arraylength ,2 4 iconst_1 ,3 100 isub ,4 54 istore 3,5 167 goto L717098535,6 4 iconst_1 ,7 54 istore 4,8 167 goto L1254691612,9 25 aload 1,10 21 iload 4,11 4 iconst_1 ,12 100 isub ,13 46 iaload ,14 25 aload 1,15 21 iload 4,16 46 iaload ,17 164 if_icmple L954049115,18 25 aload 1,19 21 iload 4,20 4 iconst_1 ,21 100 isub ,22 46 iaload ,23 54 istore 5,24 25 aload 1,25 21 iload 4,26 4 iconst_1 ,27 100 isub ,28 25 aload 1,29 21 iload 4,30 46 iaload ,31 79 iastore ,32 25 aload 1,33 21 iload 4,34 21 iload 5,35 79 iastore ,36 132 iinc 4,37 21 iload 4,38 21 iload 3,39 164 if_icmple L1459992991,40 132 iinc 3,41 21 iload 3,42 156 ifge L596850781,43 177 return 
28 25 aload 1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,1,2,100,100,100,100,100,100,100,100,100,100,100,100
29 21 iload 4,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,1,2,100,100,100,100,100,100,100,100,100,100,100,100
30 46 iaload ,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,1,100,100,100,100,100,100,100,100,100,100,100,100
31 79 iastore ,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100
32 25 aload 1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,1,100,100,100,100,100,100,100,100
33 21 iload 4,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,1,100,100,100,100,100,100,100,100
34 21 iload 5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,1,100,100,100,100,100,100,100,100
35 79 iastore ,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100
36 132 iinc 4,100,100,100,100,100,100,100,100,100,100,1,100,2,3,100,1,2,3,4,1,4,2,3,4,4,1,4,2,4,1,2,3,4,1,4,2,0,1,4,2,3,3,3,4
37 21 iload 4,100,100,100,100,100,100,100,100,100,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,1,2,2,2,3
38 21 iload 3,100,100,100,100,100,100,100,100,100,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,1,2,2,2,3
39 164 if_icmple L1459992991,100,100,100,100,100,100,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,2
40 132 iinc 3,100,100,100,100,100,100,100,100,100,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,0,1,2,3
41 21 iload 3,100,100,100,100,100,100,2,2,2,4,3,4,4,4,4,3,4,4,5,3,5,4,5,5,5,3,5,4,5,3,4,5,5,3,5,4,3,3,3,3,4,0,1,2
42 156 ifge L596850781,100,100,100,100,100,100,1,1,1,3,2,3,3,3,3,2,3,3,4,2,4,3,4,4,4,2,4,3,4,2,3,4,4,2,4,3,2,2,2,2,3,3,0,1
43 177 return ,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0
