head,0 3 iconst_0 ,1 54 istore 3,2 167 goto L1741825447,3 21 iload 3,4 54 istore 4,5 21 iload 3,6 4 iconst_1 ,7 96 iadd ,8 54 istore 5,9 167 goto L116331389,10 25 aload 1,11 21 iload 5,12 46 iaload ,13 25 aload 1,14 21 iload 4,15 46 iaload ,16 162 if_icmpge L1289955330,17 21 iload 5,18 54 istore 4,19 132 iinc 5,20 21 iload 5,21 25 aload 1,22 190 arraylength ,23 161 if_icmplt L971536153,24 25 aload 1,25 21 iload 3,26 46 iaload ,27 54 istore 5,28 25 aload 1,29 21 iload 3,30 25 aload 1,31 21 iload 4,32 46 iaload ,33 79 iastore ,34 25 aload 1,35 21 iload 4,36 21 iload 5,37 79 iastore ,38 132 iinc 3,39 21 iload 3,40 25 aload 1,41 190 arraylength ,42 4 iconst_1 ,43 100 isub ,44 161 if_icmplt L363211825,45 177 return 
26 46 iaload ,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,1,100,100,100,100,100,100,100,100,2,3,100,100,100,100,100,100,100,100
27 54 istore 5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,1,2,100,100,100,100,100,100,100,100
28 25 aload 1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,1,100,100,100,100,100,100,100,100,100,100,100,100
29 21 iload 3,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,1,100,100,100,100,100,100,100,100,100,100,100,100
30 25 aload 1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,1,2,100,100,100,100,100,100,100,100,100,100,100,100
31 21 iload 4,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,1,2,100,100,100,100,100,100,100,100,100,100,100,100
32 46 iaload ,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,1,100,100,100,100,100,100,100,100,100,100,100,100
33 79 iastore ,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100
34 25 aload 1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,1,100,100,100,100,100,100,100,100
35 21 iload 4,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,1,100,100,100,100,100,100,100,100
36 21 iload 5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,1,100,100,100,100,100,100,100,100
37 79 iastore ,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100
38 132 iinc 3,100,100,100,1,2,1,100,2,3,100,100,4,5,100,3,4,5,4,5,4,4,6,6,5,6,1,2,3,6,1,6,3,4,2,6,3,4,4,0,1,6,6,6,6,2,3
39 21 iload 3,100,100,100,2,2,2,2,2,2,2,4,3,4,4,3,4,4,3,4,3,3,3,3,3,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,0,4,4,4,4,1,2
40 25 aload 1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,1,100,2,3,4
41 190 arraylength ,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,1,2,3
42 4 iconst_1 ,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,1,2,3
43 100 isub ,100,100,100,2,2,2,2,2,2,2,4,3,4,4,3,4,4,3,4,3,3,3,3,3,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,0,1,2
44 161 if_icmplt L363211825,100,100,100,1,1,1,1,1,1,1,3,2,3,3,2,3,3,2,3,2,2,2,2,2,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,0,1
45 177 return ,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0
